content_id,content_name,img_url,limit_age,blank,company_name,production_date,url,Category,introduction
M000377861,원맨,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20241111/0445/M000377861.jpg/dims/resize/480,Fifteen,106분,,2024,https://www.tving.com/contents/M000377861,액션,"전설의 킬러, 그가 다시 돌아온다!

과거를 묻고 은퇴하는 베테랑 청부살인업자.
테러리스트들이 그의 마을에 들이닥친다.
게다가 어린 소녀를 학대하는데…
지킬 것이 생겼다. 정체가 탄로났다.
처음으로 남을 위해 다시 총을 드는데…

그의 분노가 폭발한다!"
M000370074,짱구는 못말려 : 수수께끼! 꽃피는 천하떡잎학교,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20221102/M000370074.jpg/dims/resize/480,All,더빙판,104분,2022,https://www.tving.com/contents/M000370074,애니메이션,"짱구와 친구들, 명문학교에 입학하다?!

명문 엘리트 양성학교에 체험 입학하게 된 짱구와 친구들!
좋은 성적을 내서 학교에 정식 입학하고 싶은 철수와 장난만 치려는 짱구는 크게 싸우게 된다.
그러던 중 학교에 도는 괴소문의 존재 ‘흡덩귀’에게 철수가 엉덩이를 물린 채 발견된다.
‘흡덩귀’에게 엉덩이를 물리면 엘리트 학생도 모지리로 변하게 되는데….
철수와 학생들을 구하기 위해 짱구와 떡잎마을 방범대 친구들은 탐정 동아리를 결성하고 수사를 시작한다!

범인은 과연 누구?
짱구는 사건을 해결하고 철수와의 우정을 지킬 수 있을까?!"
M000377680,더 퍼스트 슬램덩크,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20241017/0511/M000377680.jpg/dims/resize/480,Twelve,자막판,124분,2023,https://www.tving.com/contents/M000377680,애니메이션,"전국 제패를 꿈꾸는 북산고 농구부 5인방의 꿈과 열정, 멈추지 않는 도전을 그린 영화"
M000377679,더 퍼스트 슬램덩크,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20241017/0511/M000377679.jpg/dims/resize/480,Twelve,더빙판,124분,2023,https://www.tving.com/contents/M000377679,애니메이션,"전국 제패를 꿈꾸는 북산고 농구부 5인방의 꿈과 열정, 멈추지 않는 도전을 그린 영화"
M000377290,파묘,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20240619/0540/M000377290.jpg/dims/resize/480,Fifteen,134분,해설자막,2024,https://www.tving.com/contents/M000377290,미스터리,"미국 LA, 거액의 의뢰를 받은 무당 ‘화림’(김고은)과 ‘봉길’(이도현)은
기이한 병이 대물림되는 집안의 장손을 만난다.
조상의 묫자리가 화근임을 알아챈 ‘화림’은 이장을 권하고,
돈 냄새를 맡은 최고의 풍수사 ‘상덕’(최민식)과 장의사 ‘영근’(유해진)이 합류한다.

“전부 잘 알 거야… 묘 하나 잘못 건들면 어떻게 되는지”

절대 사람이 묻힐 수 없는 악지에 자리한 기이한 묘.
‘상덕’은 불길한 기운을 느끼고 제안을 거절하지만,
‘화림’의 설득으로 결국 파묘가 시작되고…

나와서는 안될 것이 나왔다."
M000377180,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20240612/0420/M000377180.jpg/dims/resize/480,All,더빙판,94분,2023,https://www.tving.com/contents/M000377180,애니메이션,"어느 날, 우주에서 날아온 검은 빛과 하얀 빛이 떡잎마을을 향해 떨어진다.
평소처럼 저녁밥을 손꼽아 기다리던 짱구는 하얀 빛에 정통으로 맞게 되고
그러자 온몸에 넘치는 신비한 힘!
힘에 몸을 맡긴 채 엉덩이에 의식을 집중하자 장난감들이 붕붕 떠오른다.

엉덩이... 엉덩이가 뜨거워...!?
뭔지 몰라도 엄청난 힘을 손에 넣은 것 같아.

한편, 검은 빛을 통해 초능력을 손에 넣은 또 다른 남자는
이 세상의 파멸을 바라며 폭주하기 시작하는데,
위기에 처한 세상을 구하기 위한 유일한 희망이 바로 짱구...!?

올 겨울, 짱구의 엉덩이가 뜨겁게 타오른다!"
M000312334,청년경찰,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20200604/M000312334.jpg/dims/resize/480,Fifteen,108분,,2017,https://www.tving.com/contents/M000312334,액션,"현장경험 전무, 수사는 책으로 배웠다!
“그냥 우리가 잡아볼게요”
의욕충만 경찰대생 기준(박서준) X 이론백단 경찰대생 희열(강하늘)
둘도 없는 친구인 두 사람은 외출을 나왔다 우연히 납치 사건을 목격하게 된다.
목격자는 오직 두 사람 뿐! 기준과 희열은 학교에서 배운 대로 지체 없이 경찰에 신고한다.
 
하지만 복잡한 절차와 부족한 증거로 수사는 전혀 진행될 기미가 보이지 않는 상황!
1분 1초가 급박한 상황에서 아까운 시간만 흘러가자, 
기준과 희열은 직접 발로 뛰는 수사에 나서기로 하고
예측 불가능한 상황을 마주하게 되는데...
 
전공지식 총동원! 파릇파릇한 놈들의 혈기왕성 실전수사가 시작된다!"
M000375916,베놈 2：렛 데어 비 카니지,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20231106/0455/M000375916.jpg/dims/resize/480,Fifteen,97분,,2021,https://www.tving.com/contents/M000375916,액션,"히어로의 시대는 끝났다
‘베놈’과 완벽한 파트너가 된 ‘에디 브록’(톰 하디) 앞에 ‘클리터스 캐서디’(우디 해럴슨)가 ‘카니지’로 등장, 
앞으로 닥칠 대혼돈의 세상을 예고한다. 
대혼돈의 시대가 시작되고, 
악을 악으로 처단할 것인가?"
M000293135,돈의 맛,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20200311/M000293135.jpg/dims/resize/480,Nineteen,114분,,2012,https://www.tving.com/contents/M000293135,드라마,"젊은 육체를 탐한 재벌, 그들의 재력을 탐한 젊음
대한민국 1%의 욕정과 치욕 사이

대한민국 상위 1%의 재벌 백씨 집안. 사회 지도층인 그들은 온갖 부정과 비리를 저질러도 ‘돈’이면 다 해결되는 대한민국 생리를 비웃는다. 백씨 집안 일을 맡아 은밀한 일처리를 해주며 차츰 돈의 유혹을 느끼게 된 비서 주영작은 자신이 존경하는 백씨 가문의 남편이자 얼굴 마담인 윤회장과 집안 하녀의 은밀한 관계를 눈치채지만 모른 척 한다. 남편과 하녀의 관계를 눈치챈 집안 안주인은 영작을 의도적으로 유혹 잠자리를 갖게 된다. 영작은 안주인과 잠자리를 갖은 후, 자신을 신뢰하는 안주인의 추천으로 점점 더 중요한 일들을 맡게 되지만 회장과 안주인의 딸인 나미와 점점 더 가까워진다.

윤회장은 돈에 중독되어 모욕적인 삶을 살아온 현재를 포기하고 하녀와 나가서 살고 싶다고 공개적으로 밝히게 되는데..."
M000273233,돈,https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20191220/M000273233.jpg/dims/resize/480,Fifteen,115분,,2019,https://www.tving.com/contents/M000273233,드라마,"“부자가 되고 싶었다”
오직 부자가 되고 싶은 꿈을 품고 여의도 증권가에 입성한 신입 주식 브로커 조일현(류준열). 
빽도 줄도 없는, 수수료 O원의 그는 곧 해고 직전의 처지로 몰린다.
위기의 순간, 베일에 싸인 신화적인 작전 설계자 번호표(유지태)를 만나게 되고, 
막대한 이익을 챙길 수 있는 거래 참여를 제안 받는다. 
위험한 제안을 받아들인 후 순식간에 큰 돈을 벌게 되는 일현. 
승승장구하는 일현 앞에 번호표의 뒤를 쫓던 금융감독원의 사냥개 한지철(조우진)이 나타나 
그를 조여 오기 시작하는데..."
